Nom de l'association;Secteur d'activité;Ville;Adresse postale;Code postal;Adresse email;Téléphone;Statut de publication;Statut légal;Date de déclaration;Date de modification;Administrateur;N°RNA;N°SIRET;IdAssociation
2008 l'espoir pour digne-les-bains;Politique;Digne-les-Bains;2, impasse des augiers;04000;;;Publiée;Déclarée;19/06/2008;11/06/2015 (System);Non;;;e006b41f-ebc1-4dac-9aee-11581f7ced18
3ma4l;"Sports mécaniques; Groupements d'entraide et de solidarité; Sports individuels; Sports; Social Entraide; Humanitaire et Caritatif; Amicale, groupement d'entraide, solidarité ";Digne-les-Bains;5, avenue des thermes;04000;;;Publiée;Déclarée;20/11/2008;12/06/2015 (System);Non;W043000114;;aa9861c3-1bbe-491d-bf76-444f295b0a4f
4l mistral;"Associations caritatives intervenant au plan international; Social Entraide; Humanitaire et Caritatif; Amicales; Education, Formation, Recherche; Associations d'étudiants, d'élèves";Digne-les-Bains;5, rue léon-marriaud;04000;;;Publiée;Déclarée;31/01/2008;12/06/2015 (System);Non;;;19a5d005-2470-4674-97f7-570c1f13e3ba
745 crew;"Sports individuels; Sports; Cyclisme (Vélo); Glisse; Roller - skate";Digne-les-Bains;4 Rue Curaterie;04000;;;Publiée;Déclarée;20/08/2009;14/06/2015 (System);Non;W043000509;;9da050aa-9020-4cb1-a3fd-e5be53c2a502
A. b. baremoise,;Pétanque, Boules (général);Barrême;;04330;;;Publiée;Déclarée;01/01/1900;24/04/2014 (System);Non;;;34e8660b-fd3e-4927-8f17-9eab1eec3937
A COEUR DE DIGNE;"Comité de défense, animation de quartier, asso municipale, associations riverains; Insertion, Aide à l'emploi, vie locale; Social Entraide";Digne-les-Bains;5 montée des Prisons;04000;acoeurdedigne@gmail.com;0604149846;Publiée;Inconnu;20/02/2016;19/04/2016 (System);Oui;;;405c167d-d0e5-4a72-9988-a0aaf5b5238e
A Fleur de Pierre;"Amicale, groupement d'entraide, solidarité ; Mouvements écologiques";Digne-les-Bains;23 montée St Charles;04000;afleurdepierre@orange.fr;0492316974;Publiée;Inconnu;;02/03/2016 (Amélie A Fleur de Pierre);Oui;;;adb0a06a-1a2a-45dc-a4c6-a1ab1ce60b46
A fleur de pierres;"Groupements d'entraide et de solidarité; Défense et amélioration du cadre de vie";Digne-les-Bains;5, place du marché;04000;;;Publiée;Déclarée;;18/04/2016 (System);Non;W043000543;;251d703c-8652-4f39-9cad-82f172bb1319
A j f action pour la jeunesse et la famille;"Social Entraide; Interventions sociales; Associations familiales, services sociaux pour les familles; Art et Culture";Digne-les-Bains;62, avenue henri-jaubert;04000;;;Publiée;Déclarée;19/01/1999;05/06/2015 (System);Non;;;43cc8663-8c14-4240-8206-a9d354b7957a
A la bonne fourchette;Art et Culture;Estoublon;Quartier les treilles;04270;;;Publiée;Déclarée;20/04/2001;22/06/2015 (System);Non;;;ac5908ac-97d0-4152-89cb-51fbd31232ab
Academie d'accordéon des Alpes de Haute-Provence;Accordéon;Digne-les-Bains;Centre Desmichels - salle 10;04000;academie.accordeon.ahp@orange.fr;0492313805;Publiée;Déclarée;01/01/1900;25/03/2015 (Elias Administrateur Galoo);Non;;;64a581b4-5926-403b-8b8e-a0588f40a7f5
Academie musicale pierre-gassendi;"Recherche; Interventions sociales; Art et Culture";Digne-les-Bains;17, avenue du colonel-noël;04000;;;Publiée;Déclarée;20/04/2003;15/04/2016 (System);Non;;;de61a116-cea4-461e-b507-a008a065a4fa
Academie sculpture et traditions;"Recherche; Sculpture; Activités artistiques; Art et Culture";Champtercier;Place gassendi, le village;04660;;;Publiée;Déclarée;20/02/2003;15/04/2016 (System);Non;;;5817b7e8-276c-48af-98e3-19f771d4fe7c
Acces sante;"Santé et Protection civile; Social Entraide; Interventions sociales";Digne-les-Bains;29, boulevard gassendi;04000;;;Publiée;Déclarée;19/03/1997;16/06/2015 (System);Non;;;c3b0a87e-ac26-415d-bff1-f36375be2f73
Accofrat 1286;"Associations caritatives intervenant au plan international; Social Entraide; Humanitaire et Caritatif";Digne-les-Bains;1 Rue des Monges;04000;;;Publiée;Déclarée;31/12/2014;08/06/2015 (System);Non;W043002198;;1223965a-ffd1-469a-8230-da2938ce825a
Acousson4 observatoire sonore;Chant, Chorale;Digne-les-Bains;Route de Marcoux;04000;;;Publiée;Déclarée;20/02/2016;19/04/2016 (System);Non;W043002313;;50e600fc-10bd-49f3-aa2a-f1dd288a47a7
Action culturelle par le theatre dans l'energie et l'urgence pour la region grand sud (A.C.T.E.U.R.S.);"Recherche; Art et Culture";Bras-d'Asse;Chemin de l'ecole-le-village, maison andré-garcin;04270;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;797debd8-a43a-4bb0-8e4d-ebc748e0306c
Action pour la jeunesse et la famille (A.J.F.);Autres catégories;Digne-les-Bains;62, avenue henri-joubert;04000;;;Publiée;Dissoute;;15/04/2016 (System);Non;;;686485f8-2c3f-40c5-be79-2c5206b46f41
Ad rallye team;Sports mécaniques;Digne-les-Bains;20 bis, route les fonts de gaubert;04000;;;Publiée;Déclarée;20/12/2015;18/04/2016 (System);Non;W043002292;;3142ff75-7d9b-40c5-9bb4-83c2f1fe9530
ADIT (Association dignoise d'insertion par le travail);"Insertion, Aide à l'emploi, vie locale; Social Entraide; Interventions sociales";Digne-les-Bains;6 Rue Prête À Partir;04000;d.adit04@gmail.com;0492321976;Publiée;Déclarée;01/01/1991;16/10/2016 (Jean-Christophe LEONARD);Oui;;38442671400042;a00955a0-ffef-4eea-92d1-075d82574a19
A.d.n. editions;Art et Culture;Digne-les-Bains;17, avenue du général-leclerc, lycée polyvalent régional alexandra-david-neel;04000;;;Publiée;Déclarée;19/01/1999;05/06/2015 (System);Non;;;a5f9544f-8c9c-4a0a-8871-cd3110008fdf
Adrasec 04 (association departementale de radio amateur et de secourisme;"Santé et Protection civile; Sécurité protection civile; Information et Communication; Sauvetage, secourisme";Digne-les-Bains;Préfecture de digne-les-bains (alpes-de-haute-provence), 8, rue du docteur-romieu;04000;;;Publiée;Déclarée;20/04/2001;22/06/2015 (System);Non;;;f81f08f5-2001-477b-b60e-533d53e0c209
Ag concept;"Recherche; Centre d'enseignement et de formation; Education, Formation, Recherche";Digne-les-Bains;AG Concept, M. Villeneuve (René), 15, rue Maldonat;04000;;;Publiée;Déclarée;19/02/1997;16/06/2015 (System);Non;;;8820a671-7f7c-425d-ab8f-759ab1ca6860
A.g. sport auto;"Recherche; Sports; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;8, place du marché, appartement 18;04000;;;Publiée;Déclarée;;16/04/2016 (System);Non;;;8919979c-0b34-46ef-8ab6-9c96e37662dd
Agence de developpement touristique des alpes de haute-provence adt 04;"Syndicat d'initiative, office de tourisme, salons du tourisme; Tourisme";Digne-les-Bains;8 Avenue Bad Mergentheim;04000;;;Publiée;Déclarée;;14/06/2015 (System);Non;W043000481;;85c487f7-f057-4c72-b9f8-fad84ecec311
Agility club canin estoublon 04;"Élevages canins, clubs de chiens de défense; Animaux ; Loisirs";Mézel;Route de bellegarde;04270;;;Publiée;Dissoute;20/10/2015;26/06/2016 (System);Non;W043002274;;f6bf6992-d739-4261-8ba1-438ca9bb7fee
Agir ensemble pour digne-les-bains;"Social Entraide; Interventions sociales";Digne-les-Bains;2, impasse des augiers;04000;;;Publiée;Déclarée;20/06/2001;23/06/2015 (System);Non;;;3b5b8cbb-7408-43fa-9eb8-58ec1f5b1c42
Aide au developpement des nouvelles technologies de l'information et de la communication;"Centre d'enseignement et de formation; Education, Formation, Recherche";Saint-Julien-d'Asse;Le village;04270;;;Publiée;Déclarée;26/04/2010;15/06/2015 (System);Non;W043000714;;3986ef18-5ad0-453b-838f-915959c1ae78
Aides a la scolarisation des enfants du maroc;"Aide à l'enseignement, association scolaire; Education, Formation, Recherche";Digne-les-Bains;6,, rue beau de rochas;04000;;;Publiée;Déclarée;20/05/2012;17/04/2016 (System);Non;W043001938;;ee929e05-c592-44b2-b81c-003047740929
Aidons les animours;"Santé et Protection civile; Vétérinaire,Médecine animale; Social Entraide; Interventions sociales";Digne-les-Bains;46 Avenue Demontzey;04000;;;Publiée;Déclarée;20/08/2016;03/11/2016 (Valérie ROUSSEL);Oui;W043002363;;365d4cc1-5916-4e77-9c2c-1a8603451efd
Aikido digne aikido club;Arts martiaux;Champtercier;8, les couestes;04660;digneaikidoclub@laposte.net;;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;5915b6b1-575e-4a4d-9674-fd71daaf6a7a
Albafra;"Associations caritatives intervenant au plan international; Social Entraide; Humanitaire et Caritatif; Environnement, Développement durable";Mézel;Chemin du ray-des-fours;04270;;;Publiée;Déclarée;22/08/2008;12/06/2015 (System);Non;;;6a1b608a-3b42-4d9b-8a9d-4a0698ed5458
Alexandra david-neel parrainages;"Social Entraide; Humanitaire et Caritatif; Interventions sociales";Digne-les-Bains;27, avenue du maréchal-juin;04000;;;Publiée;Déclarée;19/02/1998;03/06/2015 (System);Non;;;22923364-c74d-46e4-9e9e-0e4995994a77
Alliance pour l'avenir des alpes-de-haute-provence;Politique;Digne-les-Bains;Conseil général des a.h.p., 13, rue du docteur-romieu;04000;;;Publiée;Déclarée;20/05/2002;14/04/2016 (System);Non;;;e83eb9e3-9688-4a87-8526-b0170c2756fa
Alp'activ;Association à but commercial, développement économique;Digne-les-Bains;14 Rue Vallon de Farine;04000;;;Publiée;Dissoute;;06/06/2015 (Jean-Christophe LEONARD);Non;;;f8ded33d-812b-479c-8428-9378b57a3134
Alpes provence nature;"Comités de défense, comités de sauvegarde; Environnement, Développement durable; Protection de sites naturels";Barrême;Route de nice;04330;;;Publiée;Déclarée;29/01/2010;15/06/2015 (System);Non;W043000648;;f0ff3b60-c40b-40e6-815f-a103d65a8fee
Alpes verdon 4 x 4;"Recherche; Actions socio-culturelles, centres de loisirs ";Saint-Jurs;Les féogères;04410;;;Publiée;Déclarée;19/01/1998;03/06/2015 (System);Non;;;0bd084a5-a498-480e-804a-89e50da3ed10
Alpes verdon 4x4.;"Sports; Social Entraide; Actions socio-culturelles, centres de loisirs ";Saint-Jurs;Les féogeres;04410;;;Publiée;Déclarée;;19/12/2014 (System);Non;;;8112e061-fce0-4f9e-9918-c6425172ea05
Alpes yoga rando;Sports;Digne-les-Bains;23 b, rue heroët, appartement n  5;04000;;;Publiée;Dissoute;;16/04/2016 (System);Non;;;7b8847d6-4401-4241-ae25-f165982ba210
Alpex - alpes du sud export;"Recherche; Economie";Digne-les-Bains;Chambre de commerce et d'industrie, 60, boulevard gassendi;04000;;;Publiée;Déclarée;;15/04/2016 (System);Non;;;6603e9ac-9450-412a-bc87-b9952487eb0a
Alpha-bet;Actions socio-culturelles, centres de loisirs ;Digne-les-Bains;16, avenue paul-martin;04000;;;Publiée;Déclarée;20/12/2002;15/04/2016 (System);Non;;;3f05f81d-a5fb-493e-bc39-87347834e830
Alpine des arts actuels (A4);Art et Culture;Digne-les-Bains;33, route de champtercier;04000;;;Publiée;Déclarée;;16/04/2016 (System);Non;;;d5f67551-98ca-4830-9af7-d49bb510e02b
Alsh la sympathie;Loisirs;Digne-les-Bains;16 rue epinettes;04000;digne@leolagrangepaca.org;0492324695;Publiée;Déclarée;;25/04/2014 (System);Non;;;fd601c48-d28f-4151-8f46-d79e8cb8cff1
Alternative digne les bains;"Politique; Action politique locale; Environnement, Développement durable; Défense et amélioration du cadre de vie";Digne-les-Bains;7, chemin du ravin pointu;04000;;;Publiée;Déclarée;24/10/2013;09/06/2015 (System);Non;W043002073;;c587e6ab-b0fe-4405-8e2b-bc3834e8f60e
Alti loisirs r.j;"Social Entraide; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;Gaubert-village;04000;;;Publiée;Déclarée;;16/06/2015 (System);Non;;;325ac9b3-c1c7-4b17-b5af-2622150692d0
Altitudes sud loisirs;"Sports; Interventions sociales";Digne-les-Bains;3, rue notre-dame-la-belle;04000;altitudesudloisirs@yahoo.fr;;Publiée;Déclarée;20/03/2010;19/09/2016 (Jean-Christophe LEONARD);Non;W043000668;;aa292f83-db70-45af-a2ca-e0a9718e7490
Ama musicam;"Musique; Instruments à vent; Activités artistiques; Art et Culture; Clarinette";Aiglun;12, voie du château;04510;;;Publiée;Déclarée;20/07/2002;14/04/2016 (System);Non;;;146dcbd5-4524-44d4-9f79-593cad7980d5
Amap du pays dignois;"Agriculture biologique; Environnement, Développement durable; AMAP : Association pour le maintien d'une agriculture paysanne; Economie; Associations d'exploitants agricoles; Agriculture; Espaces naturels; Représentation, promotion et défense d'intérêts économiques; Ressources naturelles";Digne-les-Bains;34, boulevard gassendi;04000;;;Publiée;Déclarée;20/05/2012;17/04/2016 (System);Non;W043001937;;6a2b6dc6-3195-4ac7-84b0-6beea1481443
Ambition digne - l'initiative citoyenne;"Comités de défense du patrimoine; Politique; Préservation du patrimoine; Art et Culture";Digne-les-Bains;Avenue georges clémenceau;04000;;;Publiée;Déclarée;20/07/2013;09/06/2015 (System);Non;W043002046;;ca00ccaa-26aa-4187-b7cd-07ea42cf77ce
Amicale d'imagerie medicale bleone-durance;Actions socio-culturelles, centres de loisirs ;Digne-les-Bains;Centre hospitalier, boîte postale 213;04003;;;Publiée;Déclarée;19/06/1999;07/06/2015 (System);Non;;;a0ac26ff-0a91-4878-90c3-f063f1a3645a
Amicale des abeilles;"Activités artistiques; Art et Culture; Promotion de l'art et des artistes";Digne-les-Bains;4, avenue demontzey;04000;;;Publiée;Déclarée;20/01/2013;09/06/2015 (System);Non;W043001998;;8c0fb56a-a999-4567-b12c-671b8e8be944
Amicale des anciens volontaires du 1er regiment bas-alpin;Militaire-Armée;Digne-les-Bains;16, rue maurice-favier;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;8b51405a-9102-4e96-b29b-24fbfa6cf120
Amicale des bretons de haute-provence;"Sports; Actions socio-culturelles, centres de loisirs ; Art et Culture";Digne-les-Bains;5, place orcési;04000;;;Publiée;Déclarée;20/04/2002;15/04/2016 (System);Non;;;78f94372-8332-4718-8575-65501e955383
Amicale des chasseurs a l'arc alpes-mediterranee (A.C.A.A.M.);Sports;Saint-Jurs;École communale;04410;;;Publiée;Déclarée;;21/06/2015 (System);Non;;;d4d017de-0f6f-48cb-b16c-b028276cb6c7
Amicale des chasseurs a l'arc des alpes-de-haute-provence (A.C.A.A.H.P.);"Adresse et armes; Sports individuels; Sports; Tir; Loisirs; Chasse; Chasse Pêche";Saint-Jurs;1, rue de la forge;04410;;;Publiée;Déclarée;;17/04/2016 (System);Non;W043001354;;c3113753-7011-4c09-ba1b-e30a5eb9c6af
Amicale des chasseurs du pavillon bleu;"Sports; Loisirs; Chasse; Actions socio-culturelles, centres de loisirs ; Chasse Pêche";Moustiers-Sainte-Marie;Domaine de vincel;04360;;;Publiée;Déclarée;20/08/2002;14/04/2016 (System);Non;;;2174e94c-fa94-475a-b7b8-27f2a71b749f
Amicale des chefs de service de l'etat dans le departement des alpes-de-haute-provence;"Interventions sociales; Art et Culture";Digne-les-Bains;Direction départementale de l'agriculture et de la forêt, bp 218, 68, boulevard gassendi;04003;;;Publiée;Déclarée;20/01/2002;14/04/2016 (System);Non;;;db1d9b0d-f0eb-4f4f-9fb1-424d996369c7
Amicale des corses de haute-provence;"Loisirs; Actions socio-culturelles, centres de loisirs ";Mézel;Le clos d'auran;04270;;;Publiée;Déclarée;20/12/2000;22/06/2015 (System);Non;;;5df65666-1b7d-454b-8d6c-742e2fa92ccd
Amicale des juliens;"Loisirs; Actions socio-culturelles, centres de loisirs ";Champtercier;L'orée du bois;04660;;;Publiée;Déclarée;19/02/1999;07/06/2015 (System);Non;;;9a4b35e6-e3f5-4a61-874a-150c5ef9e9f0
Amicale des membres et anciens membres du conseil general et du conseil departemental des alpes de haute provence;"Amicale, groupement d'entraide, solidarité ; Personnes originaires d'une même région";Digne-les-Bains;Hôtel du département, 13, rue du docteur romieu, b.p. 216;04003;;;Publiée;Déclarée;;18/04/2016 (System);Non;W043000449;;804b15ae-116c-4cf1-b24a-2ae75843707c
Amicale des ouvriers forestiers;"Social Entraide; Environnement, Développement durable; Interventions sociales; Défense et amélioration du cadre de vie";Barrême;Atelier bois, quartier la condamine;04330;;;Publiée;Déclarée;20/01/2015;22/06/2015 (System);Non;W043002205;;f4021d89-0796-4109-942e-a07a8eb7eda2
Amicale des personnels d'encadrement de l'education nationale des alpes-de-haute-provence (A.P.E.E.N. 04);"Loisirs; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;Lycée beau-de-rochas, 10, avenue du maréchal-leclerc;04000;per.lyc.beauderochas@ac-aix-marseille.fr;;Publiée;Déclarée;20/10/2004;16/04/2016 (System);Non;;;494553a1-93b5-4f34-b69b-90a93b1db8a0
Amicale des personnels de la direction departementale de la cohesion sociale et de la protection des populations 04;"Social Entraide; Organisation de professions (hors caractère syndical); Amicale, groupement d'entraide, solidarité ";Digne-les-Bains;68, boulevard gassendi, bp 9028;04000;;;Publiée;Déclarée;21/06/2010;15/06/2015 (System);Non;W043000757;;1ea45de7-fc46-42a4-9fea-967b16342fd3
Amicale des personnels du college maria borrely;"Amicale profession enseignante, amicale de personnel ; Amicales; Education, Formation, Recherche";Digne-les-Bains;5 Place des Cordeliers;04000;;;Publiée;Déclarée;27/11/2008;12/06/2015 (System);Non;W043000140;;6c2ef9be-7bcf-4b27-a513-d6a0d26f8874
Amicale des personnels et etudiants du lycee technologique de digne-les-bains;"Loisirs; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;Lycée technologique, quartier saint-christophe;04000;;;Publiée;Déclarée;;05/06/2015 (System);Non;;;9d0badfc-d6f3-44b2-abcd-6c9fb4cd9917
Amicale des petoulets;Actions socio-culturelles, centres de loisirs ;Digne-les-Bains;Bar de la sèbe, quartier de la sèbe;04000;;;Publiée;Déclarée;;14/04/2016 (System);Non;;;b30eb5ca-ddbc-465d-86a2-2eb7aa7e3c06
Amicale des Sapeurs-pompiers de Digne-les-bains;Sauvetage et secourisme;Digne-les-Bains;93, avenue Henri-Jaubert, La Sèbe;04000;;;Publiée;Déclarée;;15/04/2015 (Alexandre Siahou);Non;;;29f8aa4d-faa8-49a3-8fb2-8b3a9228a46c
Amicale des trois vallees;"Social Entraide; Actions socio-culturelles, centres de loisirs ; Interventions sociales; Associations familiales, services sociaux pour les familles";Barrême;Bar des amis, place de l'eglise;04330;;;Publiée;Déclarée;20/03/2005;10/06/2015 (System);Non;;;3f8b165b-f023-4a57-b563-3a94e4009c11
Amicale du maquis fort-de-france, groupe manfred;"Social Entraide; Interventions sociales";Barrême;Hôtel pascal;04330;;;Publiée;Déclarée;;08/06/2015 (System);Non;;;e5b1220b-83ec-4dda-b8eb-79c97ed76f57
Amicale du personnel de la cma 04;"Social Entraide; Organisation de professions (hors caractère syndical); Amicale, groupement d'entraide, solidarité ";Digne-les-Bains;15,, rue maldonnat;04000;;;Publiée;Déclarée;20/10/2013;09/06/2015 (System);Non;W043002072;;73dafcbc-6c59-423c-9d6a-19012dd318e2
Amicale du personnel de saint-domnin;"Sports; Social Entraide; Actions socio-culturelles, centres de loisirs ; Art et Culture";Digne-les-Bains;1, montée saint-lazare;04000;;;Publiée;Déclarée;22/11/2006;11/06/2015 (System);Non;;;c265e303-2c17-46e0-960e-308427096c18
Amicale du personnel p.b.s;"Sports; Social Entraide; Actions socio-culturelles, centres de loisirs ; Art et Culture";Digne-les-Bains;Pharmacie bléone sud, centre commercial carrefour;04000;;;Publiée;Déclarée;23/02/2006;10/06/2015 (System);Non;;;dace4970-a38c-42a9-a164-5db758d7008f
Amicale modeliste dignoise;"Social Entraide; Loisirs; Actions socio-culturelles, centres de loisirs ";Digne-les-Bains;28, rue de l'hubac;04000;;;Publiée;Déclarée;20/01/2000;22/06/2015 (System);Non;;;1c4dbe73-be33-42ab-94a7-bf8afbac44ac
Amicale o4 - jeunesse et sports;Sports;Digne-les-Bains;4, rue pierre-builly;04000;;;Publiée;Déclarée;;07/06/2015 (System);Non;;;32aed6c0-8023-4b1a-b19c-8f6250b47692
Amicale philatelique dignoise;Philatélie (Timbres-poste);Digne-les-Bains;Centre desmichels;04000;;0492316272;Publiée;Déclarée;01/01/1900;26/03/2015 (Alexandre Siahou);Non;;;6f7e0e87-b1c8-4b5a-be4c-bc113fa6d1e9
